Stateful operations, such as distinct and sorted, may incorporate state from previously seen elements when processing new elements.	__label__-1
Stateless operations, such as filter and map, retain no state from previously seen element when processing a new element -- each element can be processed independently of operations on other elements.	__label__-1
"Laziness also allows avoiding examining all the data when it is not necessary; for operations such as ""find the first string longer than 1000 characters"", it is only necessary to examine just enough strings to find one that has the desired characteristics without examining all of the strings available from the source."	__label__-1
After the terminal operation is performed, the stream pipeline is considered consumed, and can no longer be used; if you need to traverse the same data source again, you must return to the data source to get a new stream.	__label__-1
A node in a hierarchical collection of preference data.	__label__-1
Server-side request interceptor.	__label__-1
A type-safe enumeration of possible color states.	__label__-1
Returns a subset of the table as an array of bytes for a specified tag.	__label__-1
The byte array returned is a copy of the font data in memory.	__label__-1
Gets the floatable property.	__label__-1
Atomically sets the value to the given updated value if the current value == the expected value.	__label__-1
Adds the specified mouse listener to receive mouse events from this TrayIcon.	__label__-1
"*; @Nesting(TOP_LEVEL) public class NestingExamples { @Nesting(MEMBER) static class MemberClass1{} @Nesting(MEMBER) class MemberClass2{} public static void main(String... argv) { @Nesting(LOCAL) class LocalClass{}; Class<?>[] classes = { NestingExamples.class, MemberClass1.class, MemberClass2.class, LocalClass.class }; for(Class<?> clazz : classes) { System.out.format(""%s is %s%n"", clazz.getName(), clazz.getAnnotation(Nesting.class).value()); } } } @Retention(RUNTIME) @interface Nesting { NestingKind value(); } ."	__label__-1
The LifespanPolicy specifies the lifespan of the objects implemented in the created POA.	__label__-1
This method is public as an implementation side effect.	__label__-1
This is unique only within the scope of the ORB that created the object adapter.	__label__-1
"Constant for the ""Vai"" Unicode character block."	__label__-1
The name of an object adapter.	__label__-1
When the client uses the DII to make an invocation, any user exception returned from the server is enclosed in an Any object contained in the UnknownUserException object.	__label__-1
A class that contains user exceptions returned by the server.	__label__-1
Implementation Considerations An implementation may (and typically does) require that the current thread hold the lock associated with this Condition when this method is called.	__label__-1
Constructs a group descriptor that uses the system defaults for group implementation and code location.	__label__-1
Properties specify Java environment overrides (which will override system properties in the group implementation's VM).	__label__-1
The command environment can control the exact command/options used in starting the child VM, or can be null to accept rmid's default.	__label__-1
This constructor will create an ActivationGroupDesc with a null group class name, which indicates the system's default ActivationGroup implementation.	__label__-1
Returns the current value of the mark.	__label__-1
"Constant for the ""Sundanese Supplement"" Unicode character block."	__label__-1
Returns an array of all the objects currently registered as FooListeners upon this Window.	__label__-1
Do not allow the line to be justified.	__label__-1
One application is to generate sequence numbers, as in: class Sequencer { private final AtomicLong sequenceNumber = new AtomicLong(0); public long next() { return sequenceNumber.getAndIncrement(); } } It is straightforward to define new utility functions that, like getAndIncrement, apply a function to a value atomically.	__label__-1
A small toolkit of classes that support lock-free thread-safe programming on single variables.	__label__-1
WARNING: The AnnotationValueVisitor interface implemented by this class may have methods added to it in the future to accommodate new, currently unknown, language structures added to future versions of the Java™ programming language.	__label__-1
A skeletal visitor for annotation values with default behavior appropriate for the RELEASE_6 source version.	__label__-1
Sets the designated parameter to an int in the Java programming language.	__label__-1
When the new visitor is introduced, all or portions of this visitor may be deprecated.	__label__-1
A new abstract annotation value visitor class will also be introduced to correspond to the new language level; this visitor will have different default behavior for the visit method in question.	__label__-1
This method will return null if a BufferStrategy has not yet been created or has been disposed.	__label__-1
Returns the BufferStrategy used by this component.	__label__-1
Any restrictions and the exception type must be documented by that Lock implementation.	__label__-1
Releases the lock.	__label__-1
Implementation Considerations A Lock implementation will usually impose restrictions on which thread can release a lock (typically only the holder of the lock can release it) and may throw an (unchecked) exception if the restriction is violated.	__label__-1
On these platforms where dynamic layout during resizing is not supported (or is always supported), setting this property has no effect.	__label__-1
Controls whether the layout of Containers is validated dynamically during resizing, or statically, after resizing is complete.	__label__-1
A multiplexing UI used to combine ToolBarUIs.	__label__-1
The maximum amount by which the left side of this glyph can shrink (a positive number).	__label__-1
Creates this toolkit's implementation of CheckboxMenuItem using the specified peer interface.	__label__-1
Atomically sets the value to the given updated value if the current value == the expected value.	__label__-1
The LifespanPolicy specifies the lifespan of the objects implemented in the created POA.	__label__-1
"Constant for the ""Miscellaneous Symbols"" Unicode character block."	__label__-1
Visits any program element as if by passing itself to that element's accept method and passing null for the additional parameter.	__label__-1
Causes this Window to be sized to fit the preferred size and layouts of its subcomponents.	__label__-1
Returns whether the cursor is pointing to the position after the last row.	__label__-1
Returns boolean whether the cursor is after the last result.	__label__-1
If the lock is available this method returns immediately with the value true.	__label__-1
Acquires the lock if it is free within the given waiting time and the current thread has not been interrupted.	__label__-1
If the current thread: has its interrupted status set on entry to this method; or is interrupted while acquiring the lock, and interruption of lock acquisition is supported, then InterruptedException is thrown and the current thread's interrupted status is cleared.	__label__-1
If the lock is not available then the current thread becomes disabled for thread scheduling purposes and lies dormant until one of three things happens: The lock is acquired by the current thread; or Some other thread interrupts the current thread, and interruption of lock acquisition is supported; or The specified waiting time elapses If the lock is acquired then the value true is returned.	__label__-1
If the specified waiting time elapses then the value false is returned.	__label__-1
The programmer should be aware that this may be the case.	__label__-1
An implementation can favor responding to an interrupt over normal method return, or reporting a timeout.	__label__-1
An implementation should document when this is the case.	__label__-1
This class is a simple holder for a key pair (a public key and a private key).	__label__-1
It does not enforce any security, and, when initialized, should be treated like a PrivateKey.	__label__-1
The @XmlElements annnotation can be used with the following program elements: a JavaBean property non static, non transient field This annotation is intended for annotation a JavaBean collection property (e.g.	__label__-1
Multiple annotations of the same type are not allowed on a program element.	__label__-1
A container for multiple @XmlElement annotations.	__label__-1
If @XmlIDREF is also specified on the JavaBean property, then each @XmlElement.type() must contain a JavaBean property annotated with @XmlID.	__label__-1
Usage The usage is subject to the following constraints: This annotation can be used with the following annotations: @XmlIDREF, @XmlElementWrapper.	__label__-1
List).	__label__-1
"<!-- XML Schema fragment --> <xs:complexType name=""Foo""> <xs:sequence> <xs:choice minOccurs=""0"" maxOccurs=""unbounded""> <xs:element name=""A"" type=""xs:int""/> <xs:element name=""B"" type=""xs:float""/> <xs:choice> </xs:sequence> </xs:complexType> ."	__label__-1
A description in the Interface Repository of a member of an IDL union.	__label__-1
Atomically sets the value of both the reference and mark to the given update values if the current reference is == to the expected reference and the current mark is equal to the expected mark.	__label__-1
Attribute key for the posture of a font.	__label__-1
An instance of PlainDocument is returned.	__label__-1
Default value to be returned; defaultAction returns this value unless the method is overridden.	__label__-1
Please see XMLEncoder.	__label__-1
Alpha is defaulted to 255.	__label__-1
Creates an opaque sRGB color with the specified combined RGB value consisting of the red component in bits 16-23, the green component in bits 8-15, and the blue component in bits 0-7.	__label__-1
Creates the default implementation of the model to be used at construction if one isn't explicitly given.	__label__-1
A multiplexing UI used to combine ToolTipUIs.	__label__-1
Throws UnsupportedOperationException because ReadLocks do not support conditions.	__label__-1
Compares this ImageGraphicAttribute to the specified ImageGraphicAttribute.	__label__-1
If no index is specified when adding a component to a container, it will be added to the end of the list (and hence to the bottom of the stacking order).	__label__-1
Address is the Host and Port information represented as a String.	__label__-1
Updates the componentListener, if necessary.	__label__-1
Represents runtime exceptions thrown in the agent when performing operations on MBeans.	__label__-1
It wraps the actual java.lang.RuntimeException thrown.	__label__-1
"Constant for the ""Katakana Phonetic Extensions"" Unicode character block."	__label__-1
Marks a property that refers to classes with XmlElement or JAXBElement.	__label__-1
When a sub-class is assigned to a property, an element property produces the same tag name with @xsi:type, whereas a reference property produces a different tag name (the tag name that's on the the sub-class.)	__label__-1
This annotation can be used with the following annotations: XmlJavaTypeAdapter, XmlElementWrapper.	__label__-1
An abstract superclass for encoding and writing images.	__label__-1
Describes an argument of an operation exposed by an MBean.	__label__-1
This package is generated from the IOP::Codec IDL interface definition.	__label__-1
This can occur if the language evolves and new kinds of types are added to the TypeMirror hierarchy.	__label__-1
Unless otherwise specified in a particular implementation, the collections returned by methods in this package should be expected to be unmodifiable by the caller and unsafe for concurrent access.	__label__-1
"This class provides the functionality of a ""Message Authentication Code"" (MAC) algorithm."	__label__-1
If listener l is null, no exception is thrown and no action is performed.	__label__-1
Adds the specified hierarchy listener to receive hierarchy changed events from this component when the hierarchy to which this container belongs changes.	__label__-1
The Holder for Boolean.	__label__-1
"For more information on Holder files, see ""Generated Files: Holder Files""."	__label__-1
"If an IDL method signature has an IDL boolean as an ""out"" or ""inout"" parameter, the programmer must pass an instance of BooleanHolder as the corresponding parameter in the method invocation; for ""inout"" parameters, the programmer must also fill the ""in"" value to be sent to the server."	__label__-1
"Before the method invocation returns, the ORB will fill in the value corresponding to the ""out"" value returned from the server."	__label__-1
Returns the object representing the Unicode block containing the given character (Unicode code point), or null if the character is not a member of a defined block.	__label__-1
This method differs from the setCharacterStream (int, Reader) method because it informs the driver that the parameter value should be sent to the server as a NCLOB.	__label__-1
It provides the ability to flag a reflected object as suppressing default Java language access control checks when it is used.	__label__-1
Identifies the KHMER range and decimal base.	__label__-1
